Date,Country,Name,Sunrise,Sunset,MinTemp_C,MaxTemp_C
2022-07-10, Turkey,Istanbul,05:41 AM,08:38 PM,21.8,30.4
2022-07-09, Turkey,Istanbul,05:41 AM,08:38 PM,21.8,30.8
2022-07-08, Turkey,Istanbul,05:40 AM,08:38 PM,22.1,32.6
2022-07-10, United Kingdom,London,04:55 AM,09:16 PM,15.4,29.5
2022-07-09, United Kingdom,London,04:54 AM,09:17 PM,16.8,28.8
2022-07-08, United Kingdom,London,04:53 AM,09:18 PM,15.5,28.8
2022-07-10, Turkey,Izmir,05:56 AM,08:37 PM,20.5,34.9
2022-07-09, Turkey,Izmir,05:56 AM,08:37 PM,21.8,36.6
2022-07-08, Turkey,Izmir,05:55 AM,08:38 PM,20.6,38
2022-07-10, United States of America,Boston,05:17 AM,08:22 PM,14.3,23.7
2022-07-09, United States of America,Boston,05:16 AM,08:22 PM,16.3,23.5
2022-07-08, United States of America,Boston,05:16 AM,08:23 PM,17.8,27
